9525,10713,8662,4175,6967,9444,7317,6167,7028,6082,4389,8352,5297,11586,9103,4721,7965,3828,6133,4050,4134,4577,8985,5337,5643,6833,7557,3744,7794,7069,5213,7957,11985,5495,6274,6719,4853,9793,4045,9043,5529,8603,10231,6127,4269,8633,7443,4971,6860,11808,10491,5898,7046,7309,4542,4356,9868,11187,4464,4357,6790,11761,12421,11105,11566,5883,11440,6781,4534,7766,4684,9543,8778,5367,6888,8765,5634,10690,4341,10162,11604,11775,4884,5822,5578,3715,4538,8229,4061,13460,7336,8377,7015,8866,11136,6320,4909,8233,9307
9759,11130,8672,4385,7379,9206,7848,6636,7834,6563,4883,9009,5703,11119,9176,5409,8201,4064,6638,4209,4438,5063,9708,5853,6063,7298,8043,3965,8345,7283,5398,8608,11954,5632,7341,7193,5319,9530,4403,9196,5912,8615,10071,6560,4668,8900,7955,5423,7423,11277,10598,6372,7465,7463,5335,4777,10176,11178,4935,4526,7357,11690,12812,10980,11059,6318,10980,7353,5229,7995,5382,9901,9094,5872,7124,9022,6037,10528,4707,9888,11268,12112,5299,6249,5753,3885,5173,8831,4248,11926,7928,9032,7806,9189,10698,6783,5397,8883,10064
8410,9452,7705,4882,5899,8045,6875,5540,5924,4948,3995,7846,5014,10059,7522,4586,7203,4155,4996,4910,4536,4494,8519,4970,5283,6498,7185,4481,7433,6571,4556,7439,10487,4988,5550,5272,5057,8379,3844,8729,5269,7661,8632,5537,4910,7658,6640,5033,5453,10589,9321,5302,5964,6040,4443,4240,9081,9686,5048,5231,5559,10478,10867,9337,10082,4715,9856,5467,4566,6951,5515,9136,7645,5424,6263,7773,5255,9752,4349,8612,10336,10272,4662,5385,4382,4511,4782,7324,4875,11337,5590,7499,5906,8473,9770,5728,4631,7353,8751
8724,9869,8150,4212,6986,8350,7187,6259,6851,6651,4911,8190,5871,10023,8562,5435,7460,4500,6657,4062,4558,5380,8810,5718,6041,6527,7182,4431,7404,6809,5207,7802,10636,6168,6472,6803,5632,9004,4503,8943,5978,8100,9052,6174,4980,8528,7287,5379,7502,10489,9698,5755,7069,7074,5323,5058,9751,10166,5046,4363,7164,11069,11257,9824,10436,6294,9892,7091,5212,7277,5426,9327,8069,5807,6695,8641,6062,9444,4836,9342,10800,10642,5183,6446,6263,4282,5408,8057,4099,11184,7524,8418,6836,8662,10013,6139,5645,8283,9127
8012,8906,7992,5323,7304,8487,7979,6884,7228,6222,6487,9010,6763,9332,9199,6479,8216,4946,6509,5927,5992,6733,8947,6996,7095,7482,8259,4862,8527,7494,6722,8584,9587,7056,6804,7575,7113,9117,5871,8786,6988,7938,8553,6342,6222,8438,7776,6812,7012,9696,8429,7094,7377,7508,6348,6362,9637,8923,6642,6391,7124,9563,9487,8945,9517,7398,9207,7095,6540,8022,6455,9163,8427,7365,7025,8450,7137,8910,6318,9451,9189,9002,6674,7439,7166,4764,6518,8593,5181,11777,7324,8683,7218,8518,9089,7600,7136,8532,9262
9445,10673,8732,4553,7412,9378,8003,6399,7114,6479,5393,9234,5777,11227,9251,5628,8381,4187,6511,4883,4939,5585,9509,6065,6043,7336,8377,4090,8675,7754,5828,8809,11485,6073,6707,6858,5887,9701,4873,9406,5950,8705,10061,6307,5160,8502,7707,5671,7303,11768,10055,6187,7505,7665,5504,5231,9763,11058,5489,5256,6883,11599,12387,10611,11533,6299,11067,7115,5674,8168,5130,9612,8817,6138,7101,8628,6064,10501,5214,10057,11520,11398,5463,6370,6183,4023,5629,8540,4432,12363,7287,9151,7094,8932,11188,6614,5884,8993,9830
9965,10961,9536,4632,8223,10216,8679,7411,8239,7118,5484,10114,6606,11578,9844,5778,9189,4287,7111,4765,4800,5686,10400,6322,7209,7548,8655,4191,8973,7986,6077,9658,12124,6909,7757,7969,6188,10804,4724,10325,7077,9489,10600,7294,5258,9704,8739,5908,8028,12222,10779,7144,8320,8766,5835,5552,11123,11303,5594,5126,8075,11823,12022,11541,11696,7508,11417,8002,5707,8955,5784,10788,9539,6382,7861,10003,7239,11411,5068,11192,11658,11614,5723,7267,7044,4130,5668,9708,4500,14170,8470,9720,8220,10025,11622,7634,6214,9551,10760
10328,11645,8861,5753,7229,9934,7403,7181,7035,6560,5920,8595,5588,12021,9203,6865,7880,5089,6625,5474,5486,6801,10466,6635,5918,7222,7561,4951,7810,7504,5521,8199,12525,5807,6578,7262,6490,10284,5395,10600,5796,8873,10915,6630,6280,9266,7505,5871,7404,12326,10852,6547,7316,7348,6115,5820,10562,11666,6040,5881,7334,12582,12177,11478,11818,6159,11864,7321,5988,7692,6846,10324,9096,6346,6986,9865,5927,11378,5829,10671,11797,12563,6035,6139,5898,4847,5597,8348,5550,13360,7552,9032,7025,9595,11971,7014,6470,8874,10838
8686,8714,8108,5083,8232,8327,8467,6469,7563,6872,5099,9209,5627,9484,9278,4982,8391,5151,7264,4885,4929,5294,9070,5757,6201,7327,8073,5056,8339,8062,5312,8792,9395,5875,7096,7024,5526,8619,4843,8928,6117,8362,8915,6419,4906,8115,8187,5383,7741,9191,8545,6202,8335,7842,4900,4945,9279,9077,5480,5264,7752,9503,9631,9730,8952,6465,9356,7682,5126,8156,4951,9332,8198,5819,7897,8564,6247,9354,5218,8950,9165,9118,5252,6213,5961,4281,5135,9061,4941,10075,7642,9177,7544,8665,9546,6676,5557,9014,9384
9120,11062,8498,5293,9652,8722,9772,8312,9241,8277,5671,10596,6959,10120,10084,6196,9613,4721,8274,5185,5221,5850,9214,7127,7716,8755,9650,4651,10003,9201,6480,10102,11637,7633,8654,9008,6055,9455,5141,9290,7819,8458,9735,8219,5356,8275,9453,6622,9400,11035,10898,8023,9780,9546,5671,5376,9476,10340,5787,5606,9093,11192,11083,10240,10520,8039,9969,8963,6393,9321,6204,9357,8595,7192,9067,8695,8013,9907,5501,9785,10758,10739,6380,7779,7754,4739,6323,10489,5144,11768,9485,9950,9221,8674,10462,8631,6982,9777,9532
